date,metric_name,mean,min,max,std,count,temp_range
2025-03-08,windchill,-11.375,-14.0,-7.0,,24,7.0
2025-03-09,dew_point,-3.865217391304348,-6.5,0.3,,23,6.8
2025-03-09,pressure_sea,101.0295652173913,100.73,101.28,,23,0.5499999999999972
2025-03-09,pressure_station,97.11608695652174,96.85,97.36,,23,0.5100000000000051
2025-03-09,relative_humidity,70.17391304347827,52.0,81.0,,23,29.0
2025-03-09,temperature,1.173913043478261,-3.4,5.9,,23,9.3
2025-03-09,visibility,16100.0,16100.0,16100.0,,23,0.0
2025-03-09,wind_gust,38.333333333333336,28.0,48.0,,15,20.0
2025-03-09,wind_speed,23.217391304347824,13.0,34.0,,23,21.0
2025-03-09,windchill,-8.0,-9.0,-7.0,,10,2.0
2025-03-10,dew_point,-0.2958333333333333,-2.8,1.8,,24,4.6
2025-03-10,pressure_sea,100.82041666666665,100.48,101.1,,24,0.6199999999999903
2025-03-10,pressure_station,96.95875,96.64,97.21,,24,0.5699999999999932
2025-03-10,relative_humidity,66.29166666666667,51.0,94.0,,24,43.0
2025-03-10,temperature,5.716666666666666,-1.9,10.5,,24,12.4
2025-03-10,visibility,16100.0,16100.0,16100.0,,24,0.0
2025-03-10,wind_gust,34.714285714285715,28.0,41.0,,7,13.0
2025-03-10,wind_speed,15.541666666666666,4.0,32.0,,24,28.0
2025-03-10,windchill,-2.5,-4.0,-1.0,,2,3.0
2025-03-11,dew_point,-2.566666666666667,-7.6,1.1,,24,8.7
2025-03-11,pressure_sea,100.6225,100.02,101.65,,24,1.6300000000000097
2025-03-11,pressure_station,96.77458333333333,96.21,97.74,,24,1.5300000000000011
2025-03-11,relative_humidity,63.25,48.0,79.0,,24,31.0
2025-03-11,temperature,3.8874999999999993,-3.6,9.4,,24,13.0
2025-03-11,visibility,16100.0,16100.0,16100.0,,24,0.0
2025-03-11,wind_gust,39.083333333333336,28.0,50.0,,12,22.0
2025-03-11,wind_speed,20.0,9.0,34.0,,24,25.0
2025-03-11,windchill,-6.8,-8.0,-5.0,,5,3.0
2025-03-12,dew_point,-7.779166666666666,-10.1,-6.6,,24,3.5
2025-03-12,pressure_sea,101.68208333333332,101.51,101.88,,24,0.36999999999999034
2025-03-12,pressure_station,97.73583333333333,97.58,97.92,,24,0.3400000000000034
2025-03-12,relative_humidity,68.75,47.0,88.0,,24,41.0
2025-03-12,temperature,-2.4875000000000003,-7.2,1.1,,24,8.3
2025-03-12,visibility,16100.0,16100.0,16100.0,,24,0.0
2025-03-12,wind_gust,32.0,30.0,34.0,,4,4.0
2025-03-12,wind_speed,15.75,5.0,32.0,,24,27.0
2025-03-12,windchill,-7.888888888888889,-11.0,-6.0,,18,5.0
2025-03-13,dew_point,-5.495833333333334,-8.0,-2.8,,24,5.2
2025-03-13,pressure_sea,101.55583333333334,101.36,101.76,,24,0.4000000000000057
2025-03-13,pressure_station,97.62583333333333,97.43,97.82,,24,0.38999999999998636
2025-03-13,relative_humidity,67.04166666666667,36.0,88.0,,24,52.0
2025-03-13,temperature,0.46666666666666673,-5.2,9.3,,24,14.5
2025-03-13,visibility,16100.0,16100.0,16100.0,,24,0.0
2025-03-13,wind_speed,8.083333333333334,0.0,22.0,,24,22.0
2025-03-13,windchill,-6.357142857142857,-9.0,-2.0,,14,7.0
2025-03-14,dew_point,-2.395833333333333,-5.7,1.7,,24,7.4
2025-03-14,pressure_sea,101.4375,100.84,101.74,,24,0.8999999999999915
2025-03-14,pressure_station,97.53708333333333,96.99,97.81,,24,0.8200000000000074
2025-03-14,relative_humidity,67.70833333333333,36.0,96.0,,24,60.0
2025-03-14,temperature,3.9625,-4.9,14.9,,24,19.8
2025-03-14,visibility,14895.833333333334,6400.0,16100.0,,24,9700.0
2025-03-14,wind_speed,10.0,0.0,21.0,,24,21.0
2025-03-14,windchill,-6.0,-7.0,-4.0,,6,3.0
2025-03-15,dew_point,6.483333333333334,0.9,11.0,,24,10.1
2025-03-15,pressure_sea,100.35125,100.01,100.76,,24,0.75
2025-03-15,pressure_station,96.54208333333334,96.23,96.92,,24,0.6899999999999977
2025-03-15,relative_humidity,75.83333333333333,64.0,95.0,,24,31.0
2025-03-15,temperature,10.666666666666666,3.9,17.8,,24,13.9
